username,timestamp,cpu,boot_time,ram,ram_total,disco,disco_total
FMC-CD1,2026-09-08 22:05:30,13.2,32000.677656412125,81.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:05:40,16.2,32010.68123650551,81.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:05:50,20.2,32020.682336568832,81.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:00,23.5,32030.68354868889,84.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:10,14.0,32040.68473148346,83.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:20,17.7,32050.686089515686,81.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:30,16.7,32060.687348127365,80.4,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:40,16.6,32070.688590049744,81.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:06:50,22.7,32080.68988108635,84.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:00,18.1,32090.691333293915,84.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:10,21.5,32100.69265818596,84.0,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:20,23.9,32110.693911790848,84.9,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:30,23.4,32120.695060253143,82.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:40,26.3,32130.696018218994,86.1,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:07:50,15.8,32140.69766974449,85.2,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:00,19.2,32150.6991648674,85.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:10,16.5,32160.700407743454,84.1,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:20,15.3,32170.701580047607,84.2,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:30,13.8,32180.702882289886,83.9,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:40,18.3,32190.704113721848,84.7,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:08:50,16.3,32200.705564260483,83.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:00,18.1,32210.707006454468,83.7,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:10,16.9,32220.70818066597,83.7,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:20,18.5,32230.70945930481,83.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:30,33.4,32240.710810422897,80.9,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:40,17.0,32250.7120988369,80.7,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:09:50,23.2,32260.71355700493,86.2,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:00,16.1,32270.714791059494,83.9,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:10,18.6,32280.715903043747,83.4,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:20,19.8,32290.71667432785,83.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:30,21.5,32300.71780514717,87.9,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:40,25.9,32310.719014644623,88.7,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:10:50,25.0,32320.72118616104,84.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:00,17.5,32330.7226498127,85.5,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:10,21.1,32340.72399997711,85.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:20,24.4,32350.72492337227,88.4,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:30,29.7,32360.72586464882,86.2,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:40,36.4,32370.72706770897,80.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:11:50,23.8,32380.728665828705,74.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:00,23.2,32390.729899406433,75.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:10,21.8,32400.73155927658,75.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:20,15.7,32410.732841014862,74.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:30,15.5,32420.734177350998,74.8,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:40,14.9,32430.735344171524,75.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:12:50,19.0,32440.736419439316,76.1,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:13:00,20.3,32450.73735356331,78.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:13:10,17.6,32460.73847746849,78.3,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:13:20,20.6,32470.739520549774,78.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:13:30,13.7,32480.740585565567,79.6,5505355776,34.5,97829425152
FMC-CD1,2026-09-08 22:13:40,17.7,32490.742034435272,78.5,5505355776,34.5,97829425152
