username,timestamp,cpu,boot_time,ram,ram_total,disco,disco_total
FMC-AB1,2026-09-01 12:00:30,31.7,84505.7117421627,73.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:00:40,5.4,84515.71306300163,73.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:00:50,5.6,84525.71445417404,73.1,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:00,8.0,84535.71578931808,74.6,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:10,3.4,84545.71715593338,73.8,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:20,3.7,84555.71847319603,72.7,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:30,8.0,84565.71972584724,74.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:40,3.1,84575.72107052803,73.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:01:50,1.6,84585.72265696526,73.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:00,1.6,84595.72400426865,72.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:10,1.4,84605.7256436348,72.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:20,2.0,84615.72702741623,72.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:30,2.7,84625.72842001915,73.0,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:40,16.8,84635.72983694077,79.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:02:50,7.7,84645.7314710617,76.9,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:00,3.4,84655.73273348808,76.7,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:10,3.8,84665.73417901993,76.6,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:20,2.9,84675.73559045792,75.6,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:30,4.5,84685.73698687553,76.1,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:40,4.8,84695.73860573769,75.8,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:03:50,4.4,84705.73982810974,75.9,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:00,3.4,84715.74108862877,76.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:10,5.6,84725.74272418022,76.1,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:20,1.2,84735.74435091019,76.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:30,1.1,84745.74590682983,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:40,2.8,84755.74763417244,76.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:04:50,2.3,84765.74918794632,76.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:00,1.3,84775.75084924698,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:10,2.7,84785.75220131874,76.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:20,1.7,84795.75381422043,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:30,4.1,84805.75521922112,76.8,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:40,5.9,84815.75662446022,77.1,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:05:50,3.0,84825.75819349289,77.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:00,3.9,84835.7595808506,77.2,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:10,2.9,84845.76114082336,76.9,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:20,2.8,84855.76296925545,76.7,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:30,2.4,84865.76459693909,76.6,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:40,1.2,84875.76592469215,76.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:06:50,3.4,84885.7672533989,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:00,1.1,84895.76869010925,76.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:10,3.9,84905.77003979683,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:20,3.7,84915.77127575874,76.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:30,3.6,84925.77266073227,76.3,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:40,5.0,84935.77406573296,76.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:07:50,3.6,84945.77567315102,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:08:00,2.9,84955.77690839767,76.9,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:08:10,4.8,84965.77825784683,76.5,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:08:20,4.3,84975.7795393467,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:08:30,3.9,84985.78084993362,76.4,5505380352,31.2,97829425152
FMC-AB1,2026-09-01 12:08:40,5.1,84995.78237390518,76.3,5505380352,31.2,97829425152
